WineIndex,Type,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year
32,Red,Berola 2015,Spain,Campo de Borja,Borsao,3.9,1006,14.52,2015
33,Red,Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,1008,189,2010
34,Red,Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,1009,15.9,2017
35,Red,Vigna del Noce Barbera d'Asti 2007,Italy,Barbera d'Asti,Trinchero,4.1,101,76.9,2007
36,Red,I Tratturi Rosso 2017,Italy,Salento,San Marzano,3.8,101,7.04,2017
37,Red,Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,101,6.5,2017
38,Red,Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,101,37.34,2015
39,Red,Shiraz 2016,Australia,McLaren Vale,Food Truck,3.5,101,8.67,2016
40,Red,Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,101,24.37,2018
41,Red,Cabernet Sauvignon 2015,South Africa,Stellenbosch,Big Flower,4,101,16.5,2015
42,Red,Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,101,16.47,2015
43,Red,Sabbie di Sopra al Bosco 2014,Italy,Terre del Volturno,Nanni Copé,3.8,101,31.96,2014
44,Red,Roma Rosso 2018,Italy,Lazio,Poggio le Volpi,4,101,9.95,2018
45,Red,Garnacha de Arrayán 2014,Spain,Castilla y León,Arrayán,3.7,101,21.9,2014
46,Red,Cabernet Sauvignon 2018,Chile,Central Valley,Valdivieso,3.3,101,7.6,2018
47,Red,Terrenus Vinhas Velhas Reserva 2013,Portugal,Alentejano,Rui Reguinga,4.1,101,27.95,2013
48,Red,Fronsac 2005,France,Fronsac,Château Villars,3.8,101,25.95,2005
49,Red,Cuvée Charles de Batz Madiran 2014,France,Madiran,Domaine Berthoumieu,3.7,101,14.09,2014
50,Red,Stony Terrace Cabernet Sauvignon 2016,United States,Napa Valley,Rutherford Wine Company,3.8,101,18.03,2016
51,Red,12 e Mezzo Puglia Primitivo Organic Wine 2016,Italy,Puglia,Varvaglione,3.9,101,9.4,2016
52,Red,El Abuelo Selección Edición Limitada 2013,Spain,Almansa,Bodegas Piqueras,4.2,101,10.95,2013
53,Red,Sangre de Toro Special Selection 2017,Spain,Catalunya,Torres,3.6,101,8.9,2017
54,Red,Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,France,Languedoc,Paul Mas,3.8,101,11.05,2018
55,Red,Merlot 2018,France,Pays d'Oc,Les Jamelles,3.6,101,5.36,2018
56,Red,Roscaleto Barbera d'Alba 2015,Italy,Barbera d'Alba,Enzo Boglietti,3.9,101,31.18,2015
57,Red,Barolo Cannubi 2014,Italy,Barolo,Giacomo Fenocchio,4,101,39.9,2014
58,Red,Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,101,633.62,2017
59,Red,Cabernet Sauvignon 2014,United States,Washington,Stimson Estate Cellars,3.3,101,8.29,2014
60,Red,Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,101,48,2017
61,Red,Capatosta 2015,Italy,Toscana,Poggio Argentiera,3.8,101,19.9,2015
62,Red,Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,101,9.5,2015
63,Red,Oak Cask Malbec 2019,Argentina,Mendoza,Trapiche,3.7,1010,7.36,2019
64,Red,Amancaya Malbec - Cabernet Sauvignon 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4,1010,16.8,2017
65,Red,Laccento Ruché di Castagnole Monferrato 2017,Italy,Ruchè,Montalbera,4,1012,19.9,2017
66,Red,San Leonardo 2011,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,1012,48.64,2011
67,Red,Fausto Tannat 2015,Brazil,Serra Gaúcha,Pizzato,3.6,1012,11.35,2015
68,Red,Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,1014,119,2007
69,Red,Disciples 2016,United States,Napa Valley,The Crane Assembly,4.3,1014,53.61,2016
70,Red,Zinfandel 2015,United States,Mendocino County,Bonterra,3.6,1015,16.75,2015
71,Red,Margaux 2010,France,Margaux,Château Labégorce,4,1016,40.95,2010
72,Red,La Luna e i Falò Barbera d'Asti Superiore 2015,Italy,Barbera d'Asti,Vite Colte,3.8,1016,11.49,2015
73,Red,Ribera del Duero 2015,Spain,Ribera del Duero,Garmón,4.2,1017,38.8,2015
74,Red,Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,102,7.95,2018
75,Red,Nero d'Avola - Syrah 2018,Italy,Terre Siciliane,Roccaperciata,3.7,102,4.75,2018
76,Red,La Bienquerida 2013,Spain,Bierzo,Losada,4.1,102,35.97,2013
77,Red,Bonera 2018,Italy,Terre Siciliane,Mandrarossa,3.7,102,9.5,2018
78,Red,Noi 4 Bolgheri 2016,Italy,Bolgheri,Tenuta dei Sette Cieli,4,102,23.5,2016
79,Red,Pinot Noir 2016,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,27.78,2016
80,Red,Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,2005
81,Red,Gran Selección Tempranillo 2017,Spain,Castilla,Viña San Juan,3.4,102,6.75,2017
82,Red,Syrah 2017,South Africa,Paarl,Glen Carlou,3.9,102,18.25,2017
83,Red,Zweigelt 2017,Austria,Burgenland,Judith Beck,3.9,102,10.6,2017
84,Red,Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,2015
85,Red,Listán Negro 2017,Spain,Lanzarote,Bermejo,3.6,102,17.95,2017
86,Red,Viile Metamorfosis Merlot 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,7.5,2015
87,Red,Merlot - Cabernet Sauvignon - Petit Verdot 2014,South Africa,Walker Bay,Creation,3.9,102,12.48,2014
88,Red,RWT Shiraz 2017,Australia,Barossa Valley,Penfolds,4.4,102,229,2017
89,Red,Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,2018
90,Red,Costers Del Gravet Montsant 2013,Spain,Montsant,Capçanes,3.7,102,13.95,2013
91,Red,Merlot 2018,Italy,Terre Siciliane,Cusumano,3.4,102,7.9,2018
92,Red,Pinot Noir 2015,Austria,Burgenland,Paul Achs,3.7,102,33.05,2015
93,Red,Coume de l'Olla Rouge 2019,France,Vin de France,Matassa,4.1,102,16.96,2019
94,Red,Schwarzer 2017,Germany,Pfalz,Weingut Metzger,3.6,102,13.15,2017
95,Red,Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,2015
96,Red,Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,1020,17.59,2015
97,Red,Pinot Noir 2017,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,49.09,2017
98,Red,Zinfandel 2016,United States,California,Geyser Peak,3.7,1023,10.9,2016
99,Red,Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,15.5,2017
100,Red,Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,26.5,2015
101,Red,Ripanço Private Selection Alentejano 2016,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,8.6,2016
102,Red,Riserva Cannonau di Sardegna 2017,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,10.66,2017
103,Red,60 Sessantanni Old Vines Primitivo di Manduria 2016,Italy,Primitivo di Manduria,San Marzano,4.4,1028,17.24,2016
104,Red,Kith & Kin Cabernet Sauvignon 2017,United States,Napa Valley,Round Pond Estate,4.2,1028,38.5,2017
105,Red,Zinfandel 2017,United States,California,Rombauer Vineyards,4.3,1029,34.12,2017
106,Red,Cerro Añon Rioja Gran Reserva 2011,Spain,Rioja,Bodegas Olarra,4.1,103,14.65,2011
107,Red,Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Australia,McLaren Vale,Geoff Merrill,4,103,14.57,2013
108,Red,Plaer Vinyes Velles 2016,Spain,Priorat,Acustic Celler,4.1,103,26.18,2016
109,Red,Cabernet - Shiraz 2016,Spain,La Mancha,Añoranza,3.4,103,3.95,2016
110,Red,Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,26.9,2014
111,Red,Comte de Sénéjac Haut-Médoc 2011,France,Haut-Médoc,Château Sénéjac,3.7,103,16.83,2011
112,Red,Gran Masetto Teroldego 2014,Italy,Trentino,Endrizzi,4.4,103,39.9,2014
113,Red,Barolo Mariondino 2015,Italy,Barolo,Parusso,4.1,103,39.9,2015
114,Red,Crianza 2016,Spain,Rioja,Berceo,3.6,103,9.9,2016
115,Red,Apogee Pepper Bridge Vineyard 2013,United States,Walla Walla Valley,L'Ecole No 41,4.1,103,46.9,2013
116,Red,Gamma Red Blend 2018,Spain,Navarra,Bodegas Piedemonte,3.4,103,6.15,2018
117,Red,Peyres Nobles Rouge 2018,France,Corbières,Château Camplong,4,103,6.5,2018
118,Red,Lemartine Toscana 2015,Italy,Toscana,Poggio Antico,4.1,103,29.67,2015
119,Red,Organic Cabernet 2018,Australia,South Australia,Farm Hand,3.7,103,7.79,2018
120,Red,Pomerol 1999,France,Pomerol,Château Nénin,4.1,103,240,1999
121,Red,Malterdinger Alte Reben Spätburgunder 2016,Germany,Baden,Bernhard Huber,4.1,103,38.69,2016
122,Red,Cabernet Franc 2012,South Africa,Franschhoek,Anthonij Rupert,4.2,103,59.95,2012
123,Red,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,France,Saint-Émilion Grand Cru,Château Valandraud,4.4,103,193.02,2002
124,Red,Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,103,75.07,2017
125,Red,Merlot Reserva 2008,Brazil,Vale dos Vinhedos,Pizzato,3.2,103,15.9,2008
126,Red,Brunello di Montalcino Pianrosso 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,66.29,2015
127,Red,François de Tournon Saint-Joseph 2016,France,Saint-Joseph,Delas,3.9,103,29.15,2016
128,Red,Estibals Minervois 2018,France,Minervois,L'Ostal Cazes,3.6,103,10.99,2018
129,Red,Barbera - Garnacha 2017,Chile,Maule Valley,Erasmo,3.5,103,12.62,2017
130,Red,Roi des Lézards 2014,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,103,19.4,2014
131,Red,One Point Five Cabernet Sauvignon 2016,United States,Stags Leap District,Shafer,4.5,1030,120.01,2016
132,Red,Barbaresco 2013,Italy,Barbaresco,Gaja,4.4,1030,199.9,2013
133,Red,Saint-Julien (Grand Cru Classé) 2006,France,Saint-Julien,Château Branaire-Ducru,3.9,1030,59.54,2006
134,Red,Médoc 2012,France,Médoc,Château Potensac,3.8,1033,39.69,2012
135,Red,Pieve Santa Restituta Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Gaja,4.3,1035,59.9,2014
136,Red,Gran Maestro Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,9.75,2017
137,Red,Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Barton,4.2,1037,87.24,2011
138,Red,Inferno (Aged in Whiskey Barrels - Limited Release) 2017,United States,California,Apothic,3.8,1037,14.56,2017
139,Red,Pessac-Léognan (Grand Cru Classé de Graves) 2007,France,Pessac-Léognan,Château Pape Clément,4.3,1037,161.1,2007
140,Red,Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4,1038,14.9,2015
141,Red,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella,Masi,4.3,1039,69,2012
142,Red,Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Talenti,3.7,104,14.43,2018
143,Red,Chianti 2017,Italy,Chianti,Sammontana,3.7,104,8.9,2017
144,Red,Azul 2015,Spain,Ribera del Queiles,Guelbenzu,3.8,104,6.99,2015
145,Red,Sanct Valentin Riserva Pinot Noir 2017,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,33.2,2017
146,Red,Mas Collet Barrica 2009,Spain,Montsant,Capçanes,3.5,104,21.91,2009
147,Red,Valpolicella Ripasso Classico Superiore 2016,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4,104,16.9,2016
148,Red,Toscana Poggio Ai Merli 2016,Italy,Toscana,Castellare,4.3,104,69,2016
149,Red,Viña Aljibes Red Blend 2016,Spain,Castilla,Finca Los Aljibes,3.4,104,8.2,2016
150,Red,Châteauneuf-du-Pape (La Crau) 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,79.95,2017
151,Red,Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,France,Châteauneuf-du-Pape,Pierre Amadieu,4,104,26.23,2015
152,Red,Mencia 2015,Spain,Valdeorras,Viña Costeira,3.2,104,8.28,2015
153,Red,Santenay Clos de Malte 2016,France,Santenay,Louis Jadot,4.1,104,32,2016
154,Red,Sudisfà Roero Riserva 2015,Italy,Roero,Negro Angelo,4.1,104,29.9,2015
155,Red,Léa Les Aspres Côtes du Roussillon Rouge 2012,France,Côtes du Roussillon,Domaine Lafage,4,104,19.95,2012
156,Red,Alleanza 2012,Italy,Toscana,Castello di Gabbiano,4.1,104,26.95,2012
157,Red,Valpolicella Ripasso Classico Superiore Solane 2015,Italy,Valpolicella Ripasso,Santi,3.7,1040,14.75,2015
158,Red,Crianza 2015,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,11.95,2015
159,Red,Courela Tinto 2016,Portugal,Alentejano,Cortes de Cima,3.6,1040,5.65,2016
160,Red,Barbera d'Alba Tre Vigne 2015,Italy,Barbera d'Alba,Vietti,3.8,1040,19.5,2015
161,Red,No Name 2014,Italy,Piemonte,Borgogno,4,1041,34.32,2014
162,Red,Rioja Bordón Reserva 2011,Spain,Rioja,Franco-Espanolas,3.8,1045,10.85,2011
163,Red,Pian delle Vigne Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Antinori,4.3,1046,45.6,2014
164,Red,Almiréz 2016,Spain,Toro,Teso La Monja,4,1046,14.95,2016
165,Red,Colheita Seleccionada Rouge 2010,Portugal,Alentejano,Rapariga da Quinta,3.2,1046,11.7,2010
166,Red,Ammasso Rosso Sicilia 2016,Italy,Sicilia,Barone Montalto,4.2,1047,16.34,2016
167,Red,Côtes du Rhône Nature Rouge 2016,France,Côtes-du-Rhône,Famille Perrin,3.6,1049,10.45,2016
168,Red,Russian River Valley Zinfandel 2015,United States,Russian River Valley,DeLoach,3.5,105,18.49,2015
169,Red,Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Léoville Las Cases,4.6,105,330.45,2016
170,Red,Halkidiki Limnio - Merlot 2013,Greece,Chalkidiki,Tsantali,3.2,105,12.49,2013
171,Red,Pomerol 2015,France,Pomerol,Château l'Ecuyer,4.2,105,43.16,2015
172,Red,Toar Valpolicella Classico Superiore 2016,Italy,Valpolicella Classico,Masi,3.7,105,15.6,2016
173,Red,Arbòre Cannonau di Sardegna 2012,Italy,Cannonau di Sardegna,Gabbas,4,105,21.9,2012
174,Red,Ángeles de Amaren Tempranillo - Graciano 2015,Spain,Rioja,Bodegas Amaren,4.2,105,15.95,2015
175,Red,Barbera 2018,Italy,Piemonte,Serre dei Roveri,3.3,105,6.15,2018
176,Red,Amarone della Valpolicella 2006,Italy,Amarone della Valpolicella,Zýmē,4.5,105,96.9,2006
177,Red,Castillo de Jumilla Monastrell - Tempranillo 2018,Spain,Jumilla,Bleda,3.5,105,5.33,2018
178,Red,Hommage Lirac 2016,France,Lirac,Domaine Coudoulis,3.9,105,19.01,2016
179,Red,Poggio d'Arna Toscana 2014,Italy,Toscana,Tenuta di Sesta,3.6,105,12.9,2014
180,Red,Vinya Le Havre Reserva Cabernet Sauvignon 2013,Spain,Penedès,Jean Leon,4,105,25.75,2013
181,Red,Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,105,32.75,2014
182,Red,Sor Ugo Bolgheri Superiore 2017,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,23.94,2017
183,Red,Ses Nines Negre 2018,Spain,Binissalem-Mallorca,Tianna Negre,3.8,105,11.25,2018
184,Red,Terrassen Zweigelt Blauer 2018,Austria,Wachau,Domäne Wachau,3.7,105,9.95,2018
185,Red,Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,16.47,2018
186,Red,Riva Ranch Pinot Noir (Reliz Creek) 2017,United States,Arroyo Seco,Wente,3.9,105,24.15,2017
187,Red,Altos R Tempranillo 2017,Spain,Rioja,Altos de Rioja,3.4,105,6.9,2017
188,Red,Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,43.61,2016
189,Red,Potenti Toscana (Suvereto) 2015,Italy,Toscana,Petra,3.9,105,39.58,2015
190,Red,Trentatre 33 Rosso 2017,Italy,Salento,Rocca,3.6,105,6.95,2017
191,Red,Pievasciata Rosso 2016,Italy,Toscana,Vallepicciola,4.1,105,14.9,2016
192,Red,Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050,35.5,2013
193,Red,The Barossan Shiraz 2017,Australia,Barossa Valley,Peter Lehmann,3.8,1051,16.48,2017
194,Red,Nero d'Avola 2017,Italy,Terre Siciliane,Colosi,3.8,1055,8.68,2017
195,Red,Bordeaux 2015,France,Bordeaux,Jean-Pierre Moueix,3.5,1056,10.21,2015
196,Red,Cabernet Sauvignon 2018,United States,California,Woodbridge by Robert Mondavi,3.4,1056,8.95,2018
197,Red,Tinto 2018,Portugal,Lisboa,Porta 6,3.7,1056,9.12,2018
198,Red,Délicate N.V.,South Africa,Stellenbosch,De Toren,4.1,1056,14.38,
199,Red,Aglianico Rubrato 2014,Italy,Irpinia,Feudi di San Gregorio,3.5,1057,10.95,2014
200,Red,Gran Verano Cabernet Sauvignon 2018,Chile,Central Valley,Apaltagua,3.4,1059,6.95,2018
201,Red,Grand Estates Merlot 2015,United States,Columbia Valley,Columbia Crest,3.7,1059,12.4,2015
202,Red,Saint-Julien (Grand Cru Classé) 2017,France,Saint-Julien,Château Beychevelle,4,106,86.76,2017
203,Red,Copa Santa La Méjanelle 2015,France,Languedoc,Clavel,4,106,17.9,2015
204,Red,Cantodoro 2016,Italy,Sicilia,Feudo Arancio,3.6,106,8.5,2016
205,Red,Vitiano San Lorenzo 2014,Italy,Castel San Lorenzo,Falesco,3.9,106,11.95,2014
206,Red,Disueri Nero d'Avola 2018,Italy,Sicilia,Cusumano,3.6,106,7.7,2018
207,Red,Kirschgarten Spatburgunder GG 2013,Germany,Pfalz,Knipser,4.2,106,39.95,2013
208,Red,B 2017,Spain,Ribera del Duero,Baden Numen,3.8,106,11.21,2017
209,Red,Pinot Noir 2017,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4,106,22.5,2017
210,Red,Protocolo Tinto 2018,Spain,Castilla,Dominio de Eguren,3.7,106,5.95,2018
211,Red,Rouge 2016,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,106,16.9,2016
212,Red,Côte de Nuits Villages Le Vaucrain 2016,France,Côte de Nuits Villages,Louis Jadot,4,106,32,2016
213,Red,Vino Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,Talosa,3.9,106,17.79,2016
214,Red,Yotuel Selección 2014,Spain,Ribera del Duero,Gallego Zapatero,3.6,106,15.75,2014
215,Red,Lanzaga Rioja 2014,Spain,Rioja,Telmo Rodriguez,3.8,106,19.95,2014
216,Red,Elysian Collection Merlot 2016,United States,California,Bonterra,3.8,106,26.7,2016
217,Red,La Tiare du Pape Châteauneuf-du-Pape Rouge 2015,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,106,45,2015
218,Red,Spätburgunder Trocken 2015,Germany,Pfalz,Ökonomierat Rebholz,3.9,106,21.4,2015
219,Red,El Chocolatero Cariñena 2014,Spain,Cariñena,San Valero,3.2,106,7.75,2014
220,Red,Hermitage La Chapelle Rouge 2016,France,Hermitage,Paul Jaboulet Aîné,4.3,106,249.95,2016
221,Red,Mas Oliveras Tempranillo 2018,Spain,Catalunya,Ramón Roqueta,3.2,106,6.5,2018
222,Red,Pannobile 2015,Austria,Burgenland,Pittnauer,3.9,106,22.13,2015
223,Red,Tempus 2018,Italy,Veneto,Stefano Accordini,3.8,106,10.42,2018
224,Red,Le Clos des Fées (Hervé Bizeul) 2013,France,Côtes du Roussillon,Domaine du Clos des Fées,4.1,106,52.53,2013
225,Red,Tío Martín Crianza 2016,Spain,Rioja,D. Mateos,3.8,106,15.69,2016
226,Red,Vigna Del Mandorlo Dolcetto d'Alba 2017,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,106,11.5,2017
227,Red,Barolo Bussia 2015,Italy,Barolo,Prunotto,4.1,106,69,2015
228,Red,Tinto 2015,Spain,Rioja,Gran Familia,3.5,106,5.8,2015
229,Red,Finca Cuesta Clara Raro Reserva 2015,Spain,Rioja,Campillo,4.2,106,39.99,2015
230,Red,Fronsac 2005,France,Fronsac,Château la Vieille Cure,4,106,39.95,2005
231,Red,Ventoux 2016,France,Ventoux,Xavier Vignon,3.6,106,8.2,2016
232,Red,Hussonet Cabernet Sauvignon Gran Reserva 2015,Chile,Maipo Valley,Haras de Pirque,3.7,1060,15.95,2015
233,Red,Salice Salentino Riserva 2016,Italy,Salice Salentino,Marchese di Borgosole,3.9,1061,8.49,2016
234,Red,Chianti Classico 2016,Italy,Chianti Classico,Isole e Olena,3.9,1063,20.86,2016
235,Red,Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016,Italy,Südtirol - Alto Adige,J. Hofstätter,3.6,1064,13.48,2016
236,Red,Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenuta Il Poggione,4.2,1065,36.63,2014
237,Red,Cabernet Sauvignon 2015,United States,Columbia Valley,Columbia Winery,3.8,1065,17.75,2015
238,Red,Saint-Julien (Grand Cru Classé) 2009,France,Saint-Julien,Château Léoville Barton,4.4,1066,133.06,2009
239,Red,Pessac-Léognan (Grand Cru Classé de Graves) 2005,France,Pessac-Léognan,Château Smith Haut-Lafitte,4.4,1066,169.95,2005
240,Red,Cabernet Sauvignon 2013,Mexico,Valle de Guadalupe,L. A. Cetto,3.4,1066,8.65,2013
241,Red,Malbec 2017,Argentina,Mendoza,Catena,4.1,10676,13.5,2017
242,Red,Saint-Estèphe (Grand Cru Classé) 2009,France,Saint-Estèphe,Château Lafon-Rochet,4.2,1069,75.98,2009
243,Red,Amarone della Valpolicella Classico 2014,Italy,Amarone della Valpolicella Classico,Bolla,4.1,1069,28.99,2014
244,Red,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4,107,130.97,2014
245,Red,Margaux (Grand Cru Classé) 2017,France,Margaux,Château Lascombes,4,107,86.76,2017
246,Red,Pauillac (Grand Cru Classé) 2017,France,Pauillac,Château d'Armailhac,3.9,107,52.64,2017
247,Red,Figure Libre Freestyle Rouge 2018,France,Pays d'Oc,Gayda,3.7,107,11.45,2018
248,Red,Pinot Noir 2018,France,Pays d'Oc,La Forge Estate,3.6,107,7.27,2018
249,Red,Tinto 2018,Spain,Alicante,Vergel,3.6,107,7.35,2018
250,Red,Les Coteaux Cabernet Sauvignon 2015,South Africa,Wellington,Mont du Toit,3.8,107,11.5,2015
251,Red,Mayro Montepulciano d'Abruzzo 2015,Italy,Montepulciano d'Abruzzo,Fosso Corno,3.7,107,7.75,2015
252,Red,Barbera d'Alba 2018,Italy,Barbera d'Alba,Comm. G.B. Burlotto,3.9,107,17,2018
253,Red,Blauer Spätburgunder 2015,Germany,Baden,Ziereisen,3.7,107,11.31,2015
254,Red,Promontory 2013,United States,Napa Valley,Promontory,4.7,107,721.34,2013
255,Red,Tempranillo - Merlot 2015,Spain,Ribera del Duero,Rolland & Galarreta 'R&G',3.7,107,13.95,2015
256,Red,Sankt Laurent 2017,Austria,Burgenland,Umathum,3.6,107,13.2,2017
257,Red,Gigondas 2017,France,Gigondas,M. Chapoutier,3.9,107,24.8,2017
258,Red,Driopi Classic Agiorgitiko Nemea 2017,Greece,Nemea,Κτημα Τσελεπου (Ktima Tselepos),3.7,107,11.5,2017
